user_id,category
1840e0b9d4,Продукты
4e4f90fcfb,Электроника
afea8d72fc,Электроника
373a6055fe,Бытовая техника
9b2ab046f3,Электроника
9f39d307c3,Электроника
44edeffc91,Продукты
704474fa2d,Продукты
1de31be403,Бытовая техника
b71f36a5e4,Продукты
79843a685a,Продукты
ff68cee0d6,Бытовая техника
e8447c40e2,Досуг
98d290be27,Электроника
fa0079a5a8,Досуг
22d2f03a17,Досуг
3f8e1ccd3f,Электроника
81a9988b83,Электроника
65f44a2eb7,Досуг
5f8fbb0149,Бытовая техника
3ecff691fd,Электроника
dd0e912251,Электроника
9250593d55,Электроника
37c4e090e4,Электроника
22fa3ea76f,Электроника
73b876b237,Электроника
f983a69d67,Товары для животных
4ea17212f8,Продукты
c6de96a5e2,Товары для животных
d8e3bcee53,Продукты
680aa815f9,Продукты
4a92a68cf9,Электроника
905e60cb52,Бытовая техника
393bcfb298,Продукты
06d450cc57,Электроника
b60ce22f17,Электроника
6f159c4c2e,Товары для животных
564202f6bd,Электроника
1908683775,Электроника
8fd957a463,Продукты
72e0a3f1d0,Бытовая техника
7f5f56e517,Досуг
bc1a0a7e26,Досуг
17639fe89d,Досуг
74c9201f84,Электроника
bc4ebda0df,Досуг
fe4615dd15,Досуг
d2c560746d,Бытовая техника
f0a93d52d2,Электроника
fe52ded300,Электроника
dbe70d84e4,Строительство и ремонт
f660dbcc3f,Электроника
f93283c9ee,Бытовая техника
66bea9bf58,Бытовая техника
111c52d9bc,Продукты
16dc76e94d,Электроника
87f37b380c,Продукты
830421d975,Продукты
7d6c62f0a2,Бытовая техника
77465a0b61,Бытовая техника
ee9eb52181,Товары для животных
871c1fa9ae,Продукты
03b91dba06,Электроника
6cb42b2632,Бытовая техника
9ab8f3bbb8,Бытовая техника
63df9ee9d3,Электроника
2ffd6c724d,Продукты
af24cffd03,Электроника
421149bb9a,Строительство и ремонт
24300c6d1c,Электроника
9ca11a651f,Электроника
b7e640032f,Электроника
3691ad282b,Электроника
00ea2f7484,Электроника
6f198ac1c9,Бытовая техника
0d479d4259,Электроника
b461051101,Досуг
d39a1d56c3,Бытовая техника
316ab03143,Товары для животных
78ed39a415,Электроника
19d1e4e036,Товары для животных
9e765c6822,Продукты
ddd50eaa45,Электроника
c21b82499e,Электроника
da79d9ff30,Товары для животных
eded5c6792,Досуг
e3654c7f1a,Досуг
d20bf10c78,Бытовая техника
12de58d8e6,Продукты
de85ea0eb6,Электроника
dfe6f4ebb4,Бытовая техника
9d25ac3886,Досуг
d47dd8b814,Электроника
c5e1bf636a,Электроника
a86e69db63,Продукты
91802f78b2,Электроника
152ea9bb42,Бытовая техника
06569907e6,Бытовая техника
9f5bf9b73f,Строительство и ремонт
ec11793734,Продукты
0cf6ee6c84,Бытовая техника
f9a3ef9ac2,Продукты
716a1b4e10,Продукты
426fa041ad,Электроника
c0cd6e93e6,Электроника
85ff218333,Строительство и ремонт
f537f6c8ea,Бытовая техника
749e8694c5,Товары для животных
29586e4061,Продукты
e9eaffa80a,Бытовая техника
da237781d5,Продукты
b7195283e1,Товары для животных
62f37b821c,Досуг
69ae0afab1,Продукты
7fa3bf64b4,Досуг
4e603d8878,Строительство и ремонт
6812661e1c,Электроника
6aff7a1677,Бытовая техника
88afad2ad9,Продукты
0fa7c5b19c,Товары для животных
bed9ab14bd,Товары для животных
397005e41e,Бытовая техника
80023b95ac,Электроника
9fb91262f8,Бытовая техника
f34a165ad2,Электроника
5b7c1e9769,Бытовая техника
5655da0e0b,Электроника
ef33021c36,не определена
b15321ea7c,Продукты
0d4f4664e0,Продукты
a2468d6c33,Электроника
a8660dcfae,Бытовая техника
a7bfa5d0cc,Досуг
6e6293a54b,Досуг
48b9ea8b65,Электроника
fb9acee964,Бытовая техника
69775511be,Досуг
95bf67fda9,Продукты
ca899d23dd,Бытовая техника
2de051e056,Электроника
0da9ca70fe,Продукты
fcc5bebc42,Бытовая техника
51f6ce88cc,Бытовая техника
74a55eee1d,Электроника
69475b45df,Бытовая техника
816800e62f,Бытовая техника
28ce699720,Бытовая техника
f0d57ef042,Электроника
c577b4b31e,Продукты
4038202869,Электроника
1405e18ffb,Досуг
c0cc01a6a4,Электроника
4cd8bde9ac,Продукты
8c5eeb346a,Бытовая техника
853f7ea287,Продукты
3b1fb2ad3f,Электроника
8c45fdbf5a,Электроника
a6a4ff39f8,Бытовая техника
55effa36e0,Продукты
51d4f4b9d5,Бытовая техника
33a4dbd193,Электроника
bc2b6ade51,Электроника
e371c40a07,Электроника
74d3a4830b,Продукты
fceaddb1f5,Электроника
63f9ec63df,Бытовая техника
a7091d1405,Бытовая техника
c74d0b4602,Электроника
a8c4da0681,Электроника
47ec449fbe,Строительство и ремонт
9b63ed579f,Строительство и ремонт
508e26d325,Электроника
9cdc26ff6c,Электроника
be8c8f1a63,Продукты
bc40fc5c3b,Продукты
5bc256883c,Электроника
800ad1974f,Электроника
36b0b3a179,Бытовая техника
fbcb38042a,Бытовая техника
b3fe11defe,Продукты
1909ff3b18,Продукты
cc85b81371,Продукты
36d248e31c,Продукты
84b1b23768,Досуг
44174c696c,Продукты
2e8723f652,Продукты
2ffcf27605,Бытовая техника
94e132ac2a,Досуг
24c047fa51,Электроника
30fa49eb81,Бытовая техника
d9a640bee2,Электроника
8684af0a5d,Досуг
bbec49524b,Электроника
e95d728116,Продукты
5392a9dd06,Строительство и ремонт
8c9c7efbdb,Бытовая техника
8e7cb8744a,Продукты
a41b59347a,не определена
c1a0da9976,Электроника
9e7126c1f7,Строительство и ремонт
49e9a83a56,Электроника
b3391af5f3,Бытовая техника
9c4d9e37b8,Электроника
1eee1b1995,Электроника
d61df629df,Продукты
f67f61db9e,Электроника
73d9a7f6d5,Продукты
5ebea046cd,Электроника
eb7ff574cc,Электроника
ccfa85981e,Бытовая техника
3def3c47e0,Электроника
56183e3be7,Продукты
5a8c6a6214,Досуг
f99c733c58,Электроника
301db812db,Электроника
27be75d1bf,Электроника
ba38172577,Досуг
f0706bb95e,Продукты
ac317ed5da,Электроника
d2e5eece34,Бытовая техника
5e5398d531,Электроника
8b2f2ce9f1,Электроника
81ebf6e699,Электроника
2ffc0ac898,Продукты
3953e7d027,Электроника
abbaaeeec6,Товары для животных
b3347f9015,Электроника
5f4ccaec06,Электроника
61f09c8e23,Электроника
d4004b3288,Досуг
ccdb17354a,Продукты
1165b9e353,Досуг
0a22ae5507,Электроника
e43e102688,Досуг
7e33fda510,Электроника
2da9fe5598,Электроника
bdec18f74e,Продукты
41a4f49b7f,Электроника
9df56d0753,Продукты
c86f800915,Бытовая техника
422ac66d5a,Электроника
7ff7a48697,Электроника
d8557c45f3,Продукты
04405bf835,Продукты
987dc6321c,Электроника
48a32ff3cc,Электроника
deba35d5a8,Бытовая техника
42ec6aa3cb,Продукты
3f93050f90,Досуг
8a0c7e0dfc,Товары для животных
73aa62d288,Электроника
3e75e9c62e,Электроника
c9ca4f00dd,Продукты
72d11d2013,Бытовая техника
991072196d,Бытовая техника
092337723c,Электроника
642295148f,Электроника
e8dcb49bc2,Досуг
f127ee3e08,Бытовая техника
78c61cf048,Электроника
28ed9a2680,Товары для животных
547434b3fc,Строительство и ремонт
ec0d778ca8,Электроника
8c6a576009,Бытовая техника
26daa6bcff,Товары для животных
63eea77eac,Досуг
a771274455,Строительство и ремонт
c92680024a,Досуг
0f359c5def,Электроника
81b86551e0,Товары для животных
b694d9fb7e,не определена
2feeed4e90,Электроника
e50f766aee,Электроника
773030b2e2,Бытовая техника
a760d2ebe8,Электроника
b45d0d2b02,Электроника
da177dee2e,Досуг
e2389b2f7d,Электроника
9443ea597f,Строительство и ремонт
c9d93ee37c,"Продукты, Электроника"
122eafaf38,Продукты
9b2ff5eba6,Бытовая техника
282ee749cd,Продукты
4b1bc949e6,Продукты
a5669f7711,Товары для животных
ca20e247ce,Продукты
f88b4269c5,Товары для животных
8afd34ea5d,Электроника
0b964583be,Продукты
2419ce61b8,Досуг
4dd2890bda,Электроника
2e74cb6a8a,Электроника
db51313879,Продукты
c31aa4037a,не определена
ffde2d54b0,Электроника
23b5af6334,не определена
ba076e04d6,Электроника
1a9515473a,Товары для животных
2571da9158,Строительство и ремонт
a546b7ee7c,Досуг
a677351888,Электроника
64bcd9b25a,Строительство и ремонт
0a96362e4d,Бытовая техника
854a5623f0,Продукты
da4df206c2,Строительство и ремонт
f744545cc3,Бытовая техника
7af958b044,Товары для животных
3ea58635a3,Электроника
3258e62b94,Электроника
262f3fc8b5,Электроника
18e33e0244,Электроника
5f58fedc8c,Строительство и ремонт
1c29031015,Бытовая техника
eb986e44ed,Электроника
5f8e41e9fe,Бытовая техника
932ddf4781,Досуг
7675997d49,Досуг
5987dcf8a4,Бытовая техника
89df00704c,Строительство и ремонт
c2d2d8ac77,Бытовая техника
c9c47cbb3e,Досуг
dc5e2c99dd,Электроника
f5ec9a5cd3,Досуг
e6d9f9266d,Продукты
9cefeea76d,Бытовая техника
2462308ce7,Продукты
e65eedc757,Электроника
52b1d2a63f,Продукты
76802021e9,Электроника
a7e81df232,Досуг
1aa5be530e,Продукты
28f52a3a57,Электроника
05cbde31c9,Бытовая техника
63999d7c25,Электроника
367da43c26,Электроника
95161a6ab0,Электроника
706501f197,Бытовая техника
151f96dc65,Строительство и ремонт
65b8c9a2a4,Строительство и ремонт
ce57bf3770,Бытовая техника
69d7a3a6b7,Электроника
64d25949ee,Электроника
8e8f91533b,Продукты
301f91129f,Бытовая техника
8a4fbf45b2,Товары для животных
bfd49a9403,Продукты
4f7a7b927c,Электроника
a684d11d7f,Продукты
6fb5f6efb3,Продукты
9a1538d1d4,Бытовая техника
5331a15167,Продукты
597f7b8898,Продукты
e0205c7f6f,Продукты
fc4b00bcd2,Досуг
c3e109ab54,Продукты
93564b2f07,Электроника
a9fd3b61ee,Бытовая техника
3f17e0ae70,Электроника
5574f1d3f7,Электроника
6c1e59bd4c,Бытовая техника
ed11062209,Досуг
d829f42876,Досуг
d2c684f09e,Электроника
4a96c9c66a,Электроника
190a767c80,Электроника
1a95786640,Продукты
d1d24d5736,Строительство и ремонт
a10da0093b,Продукты
562ec95cde,Досуг
b5e2f0a283,Продукты
30aa6019ee,Строительство и ремонт
06c037d78b,Электроника
3880135278,Электроника
